DateTime,Year,DoY,Hour,FCH4,NEE,LE,H,Ustar,Rg,Tair,Tsoil5cm,Tsoil10cm,Tsoil50cm,rH,VPD,Pa,WTH,LWOUT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Day,c,s
2017-06-01 6:30,2017,152,6.5,NA,-0.526382,1.897125,8.608332,0.1849969,75.71,13.82,17.18,16.97,14.17,95.85,0.6552008,1010.6,38.1369,386.47,-0.0434955,-1.239816,-0.8162544,-0.9442838,0.2741682,-1.206419,0.7266888,-0.07622524,0.1275044,-0.2085173,0.1922762,0.02141507,0.05398749,0.01966859,152.2708,-0.8589477,0.5120634
2017-06-01 7:00,2017,152,7,NA,-2.36935,13.97127,21.42835,0.185226,131.24,14,17.12,16.94,14.27,94.97,0.8034693,1010.6,38.42532,390.45,0.372475,-0.8934277,-0.5977989,-1.502549,-0.04614165,-1.337886,0.4658485,-0.06487057,0.0966826,-0.1662258,0.2257914,0.04440986,0.05431027,0.01255249,152.2917,-0.8591312,0.5117553
2017-06-01 7:30,2017,152,7.5,NA,-1.929534,7.419076,20.37975,0.164673,109.88,14.28,17.07,16.9,14.27,93.65,1.032893,1010.75,38.73812,392.14,0.2938978,-1.013648,-0.5951355,-1.258187,-0.1531657,-1.31506,0.5325868,-0.06922316,0.2002648,-0.2064017,0.2350112,-0.01057499,0.08086809,0.02026657,152.3125,-0.8593147,0.5114472
2017-06-01 8:00,2017,152,8,0.07878,-3.189137,14.89086,29.98875,0.138917,155.88,14.4,17.03,16.87,14.27,91.21,1.440928,1010.9,38.97707,395.84,0.598079,-0.7829027,-0.3634885,-1.516368,-0.60558,-1.388488,0.3853408,-0.1065679,0.2316313,-0.1880672,0.2532312,0.02038085,0.09930577,0.01662828,152.3333,-0.8594981,0.511139
2017-06-01 8:30,2017,152,8.5,NA,-1.990289,12.22209,24.86236,0.1768509,125.81,14.47,17.01,16.86,14.28,91.3,1.432644,1010.9,39.06692,394.89,0.4803163,-0.8651275,-0.6129738,-1.191027,-0.1116508,-1.317467,0.4818853,-0.09911005,0.2013285,-0.1962434,0.2430109,-0.02677322,0.09895228,0.02314446,152.3542,-0.8596813,0.5108307
2017-06-01 9:00,2017,152,9,NA,-2.485004,12.83141,30.35418,0.1542803,157.4,14.66,17.01,16.86,14.3,91.98,1.336974,1010.9,39.02179,397.44,0.5629809,-0.8374811,-0.4792802,-1.367126,-0.357849,-1.308251,0.5245928,-0.074183,0.2711206,-0.2092369,0.264057,0.01991047,0.1035057,0.01808532,152.375,-0.8598645,0.5105224
2017-06-01 9:30,2017,152,9.5,NA,-0.9403986,8.864935,17.41637,0.1493024,77.78,14.94,17.01,16.85,14.31,91.41,1.45808,1011,38.92896,394.22,0.2513097,-1.141079,-0.6671834,-0.7933248,-0.1592386,-1.239472,0.6983491,-0.05515821,0.2157206,-0.1703614,0.2617561,-0.1121503,0.08148929,0.03094856,152.3958,-0.8600475,0.510214
2017-06-01 10:00,2017,152,10,NA,-1.354025,6.418936,16.58955,0.2160986,115.14,14.32,17.01,16.84,14.31,93.32,1.089387,1011.1,38.85345,392.58,0.3305496,-0.9390082,-0.7678991,-1.119958,0.3538977,-1.309929,0.4886786,-0.05552961,0.1782737,-0.216244,0.2484498,0.03394483,0.08923909,0.01682361,152.4167,-0.8602304,0.5099055
2017-06-01 10:30,2017,152,10.5,NA,3.512196,22.80089,55.84388,0.3473962,209.68,13.91,16.98,16.82,14.31,95.63,0.6939787,1011.3,38.8281,394.51,0.4572565,-0.7353298,-1.445987,-0.1961227,2.21996,-0.4429644,1.663891,-0.2523483,0.161926,-0.3704212,0.150561,-0.0684541,0.03375969,0.01522963,152.4375,-0.8604132,0.5095969
2017-06-01 11:00,2017,152,11,NA,-2.661974,42.41067,60.95083,0.1190165,354.83,14.4,16.96,16.79,14.29,93.86,1.006519,1011.5,38.93173,404.42,1.040792,-0.4402708,-0.1241893,-1.655565,-0.6291834,-0.9020668,1.152261,-0.1341621,0.2490271,-0.1419067,0.3193948,0.2970814,0.08086921,-0.01539224,152.4583,-0.8605959,0.5092883
